1263977550	20240919	202409	2024	2024.7096	BUS	INDUSTRY						BUS			MNCUSA	WELLS FARGO	USA					MNC			1	070	070	07	2	7.0	10	1	10	-0.15898251192368	4	Blackrock, Nova Scotia, Canada	CA	CA07	12626	45.3167	-60.95	-561321	4	Blackrock, Nova Scotia, Canada	CA	CA07	12626	45.3167	-60.95	-561321	4	Blackrock, Nova Scotia, Canada	CA	CA07	12626	45.3167	-60.95	-561321	20250919024500	https://itbrief.co.nz/story/banks-accelerate-shift-from-ai-research-to-practical-deployment
1263977871	20250919	202509	2025	2025.7096	EDU	PROFESSOR						EDU													1	050	050	05	1	3.5	10	1	10	-3.26086956521739	1	Fiji	FJ	FJ		-18	178	FJ	0								1	Fiji	FJ	FJ		-18	178	FJ	20250919024500	https://www.fijivillage.com/news/-Legacy-of-coups-still-felt-in-Fijis-leadership---Ratuva-frx458/
1263977872	20250919	202509	2025	2025.7096	EDU	UNIVERSITY						EDU													0	050	050	05	1	3.5	5	1	5	-2.5	2	Utah, United States	US	USUT		40.1135	-111.854	UT	0								2	Utah, United States	US	USUT		40.1135	-111.854	UT	20250919024500	https://www.fox10phoenix.com/news/charlie-kirk-uvu-grapples-grief-after-campus-shooting
1263977873	20250919	202509	2025	2025.7096	EDU	SCHOOL						EDU													1	051	051	05	1	3.4	2	1	2	0.89820359281437	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	0								4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	20250919024500	https://www.fox10tv.com/2025/09/18/alma-bryant-high-school-ffa-welcomes-new-calf-surprise-arrival/
1263977874	20250919	202509	2025	2025.7096	EDU	PROFESSOR						EDU													1	070	070	07	2	7.0	10	1	10	-3.26086956521739	1	Fiji	FJ	FJ		-18	178	FJ	0								1	Fiji	FJ	FJ		-18	178	FJ	20250919024500	https://www.fijivillage.com/news/-Legacy-of-coups-still-felt-in-Fijis-leadership---Ratuva-frx458/
1263977875	20250919	202509	2025	2025.7096	EDU	SCHOOL						EDU													1	071	071	07	2	7.4	1	1	1	-3.44827586206896	3	Ashe County, North Carolina, United States	US	USNC	NC009	36.4335	-81.4998	1008535	0								3	Ashe County, North Carolina, United States	US	USNC		36.4335	-81.4998	1008535	20250919024500	https://timesofindia.indiatimes.com/education/news/a-freeze-that-shook-americas-schools-how-federal-funding-chaos-left-districts-reeling/articleshow/123987970.cms
1263977876	20250919	202509	2025	2025.7096	EDU	SCHOOL						EDU													0	071	071	07	2	7.4	5	1	5	4.30194805194805	3	Byron High School, Minnesota, United States	US	USMN	MN109	44.0336	-92.6561	2064159	0								3	Byron High School, Minnesota, United States	US	USMN		44.0336	-92.6561	2064159	20250919024500	https://www.forbes.com/sites/jaimecatmull/2025/09/18/the-1m-question-are-schools-preparing-kids-for-an-ai-driven-economy/
1263977877	20250919	202509	2025	2025.7096	EDU	SCHOOL						EDU													0	071	071	07	2	7.4	2	1	2	4.30194805194805	1	India	IN	IN		20	77	IN	0								1	Kenya	KE	KE		1	38	KE	20250919024500	https://www.forbes.com/sites/jaimecatmull/2025/09/18/the-1m-question-are-schools-preparing-kids-for-an-ai-driven-economy/
1263977878	20250919	202509	2025	2025.7096	EDU	SCHOOL						EDU													0	071	071	07	2	7.4	3	1	3	4.30194805194805	1	Kenya	KE	KE		1	38	KE	0								1	Kenya	KE	KE		1	38	KE	20250919024500	https://www.forbes.com/sites/jaimecatmull/2025/09/18/the-1m-question-are-schools-preparing-kids-for-an-ai-driven-economy/
1263977879	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU													0	090	090	09	2	-2.0	10	1	10	-0.96952908587258	2	California, United States	US	USCA		36.17	-119.746	CA	0								2	California, United States	US	USCA		36.17	-119.746	CA	20250919024500	https://laist.com/news/politics/california-lawmakers-propose-bond-to-cover-trump-science-funding-cuts
1263977880	20250919	202509	2025	2025.7096	EDU	SCHOOL						EDU													0	100	100	10	3	-5.0	10	1	10	-4.29252782193958	3	Falmouth, Massachusetts, United States	US	USMA	MA001	41.5515	-70.6148	616278	0								3	Falmouth, Massachusetts, United States	US	USMA	MA001	41.5515	-70.6148	616278	20250919024500	https://www.capenews.net/falmouth/news/from-concerned-calls-to-the-courtroom-a-timeline-of-teen-s-troubles-leading-up-alleged/article_a267d9e4-8be6-43d8-a94a-807258ecd008.html
1263977881	20250919	202509	2025	2025.7096	EDU	UNIVERSITY						EDU													0	112	112	11	3	-2.0	6	1	6	-5.46218487394958	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250919024500	https://www.thehindu.com/society/gen-z-protests-nepal-anti-government-global-youth-anger-politics-change/article70056541.ece
1263977882	20250919	202509	2025	2025.7096	EDU	SCHOOL						EDU													1	130	130	13	3	-4.4	10	1	10	-4.29252782193958	3	Falmouth, Massachusetts, United States	US	USMA	MA001	41.5515	-70.6148	616278	0								3	Falmouth, Massachusetts, United States	US	USMA	MA001	41.5515	-70.6148	616278	20250919024500	https://www.capenews.net/falmouth/news/from-concerned-calls-to-the-courtroom-a-timeline-of-teen-s-troubles-leading-up-alleged/article_a267d9e4-8be6-43d8-a94a-807258ecd008.html
1263977883	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU													0	1721	172	17	4	-5.0	2	1	2	1.19047619047619	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	0								1	Israel	IS	IS		31.5	34.75	IS	20250919024500	https://vanderbilthustler.com/2025/09/18/vanderbilt-rises-to-no-7-from-no-140-in-2026-fire-college-free-speech-ranking/
1263977884	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU													0	1721	172	17	4	-5.0	3	1	3	1.19047619047619	1	Israel	IS	IS		31.5	34.75	IS	0								1	Israel	IS	IS		31.5	34.75	IS	20250919024500	https://vanderbilthustler.com/2025/09/18/vanderbilt-rises-to-no-7-from-no-140-in-2026-fire-college-free-speech-ranking/
1263977885	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU													1	186	186	18	4	-10.0	3	1	3	0.34782608695652	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20250919024500	https://vanderbilthustler.com/2025/09/18/vanderbilt-college-republicans-hold-vigil-in-honor-of-charlie-kirk/
1263977886	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU			BUS	BUSINESS						BUS			1	013	013	01	1	0.4	10	1	10	4.36507936507936	4	Tamarindo, Guerrero, Mexico	MX	MX12	19981	17.3167	-101.017	-1667000	4	Tamarindo, Guerrero, Mexico	MX	MX12	19981	17.3167	-101.017	-1667000	4	Tamarindo, Guerrero, Mexico	MX	MX12	19981	17.3167	-101.017	-1667000	20250919024500	https://marshallnewsmessenger.com/2025/09/18/a-place-to-gather-owners-of-destellos-cafe-and-event-center-in-marshall-want-it-to-be-a-community-hub/
1263977887	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU			CAN	CANADA	CAN								0	051	051	05	1	3.4	1	1	1	0.91346153846154	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	20250919024500	https://www.thewhig.com:443/news/st-lawrence-college-students-join-staff-picket-lines/wcm/cf49d77b-ce74-4595-bc57-8103af94f3df
1263977888	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU			CHN	CHINA	CHN								1	042	042	04	1	1.9	4	1	4	-7.79392338177014	4	Wuhan, Hubei, China	CH	CH12	13124	30.5833	114.267	-1930776	4	Wuhan, Hubei, China	CH	CH12	13124	30.5833	114.267	-1930776	4	Wuhan, Hubei, China	CH	CH12	13124	30.5833	114.267	-1930776	20250919024500	https://timesofindia.indiatimes.com/india/this-killer-stalking-kerala-attacks-through-the-nose/articleshow/123987907.cms
1263977889	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU			COP	POLICE						COP			0	036	036	03	1	4.0	10	1	10	-0.38204393505253	0								0								0								20250919024500	https://www.capenews.net/mashpee/news/mashpee-school-committee-reviews-safety-protocols/article_e61b9e70-4d8f-4cb4-9cb1-e83aba1ce0e1.html
1263977890	20250919	202509	2025	2025.7096	EDU	SCHOOL						EDU			COP	POLICE						COP			0	040	040	04	1	1.0	2	1	2	-4.29252782193958	3	Hingham, Massachusetts, United States	US	USMA	MA023	42.2418	-70.8898	613354	3	Falmouth, Massachusetts, United States	US	USMA	MA001	41.5515	-70.6148	616278	3	Falmouth, Massachusetts, United States	US	USMA	MA001	41.5515	-70.6148	616278	20250919024500	https://www.capenews.net/falmouth/news/from-concerned-calls-to-the-courtroom-a-timeline-of-teen-s-troubles-leading-up-alleged/article_a267d9e4-8be6-43d8-a94a-807258ecd008.html
1263977891	20250919	202509	2025	2025.7096	EDU	COLLEGE						EDU			GOV	PRESIDENT						GOV			1	017	017	01	1	0.0	6	1	6	0.34782608695652	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250919024500	https://vanderbilthustler.com/2025/09/18/vanderbilt-college-republicans-hold-vigil-in-honor-of-charlie-kirk/
1263977892	20250919	202509	2025	2025.7096	EDU	ECONOMIST						EDU			GOV	GOVERNMENT						GOV			1	040	040	04	1	1.0	3	1	3	3.42679127725856	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20250919024500	http://www.bignewsnetwork.com/news/278586746/australian-economy-remains-in-malaise-despite-uptick-in-productivity-govt-report
1263977893	20250919	202509	2025	2025.7096	EDU	COLLEGE						EDU			GOV	PRESIDENT						GOV			1	051	051	05	1	3.4	6	1	6	0.34782608695652	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250919024500	https://vanderbilthustler.com/2025/09/18/vanderbilt-college-republicans-hold-vigil-in-honor-of-charlie-kirk/
1263977894	20250919	202509	2025	2025.7096	EDU	COLLEGE						EDU			JUD	ATTORNEY						JUD			1	040	040	04	1	1.0	3	1	3	-1.92307692307692	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20250919024500	https://www.kbtx.com/2025/09/18/bryan-lawyer-breaks-down-free-speech-limits-after-disciplinary-actions-tied-charlie-kirks-death/
1263977895	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU			LAB	STRIKING WORKER						LAB			0	030	030	03	1	4.0	10	1	10	0.91346153846154	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	20250919024500	https://www.thewhig.com:443/news/st-lawrence-college-students-join-staff-picket-lines/wcm/cf49d77b-ce74-4595-bc57-8103af94f3df
1263977896	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU			LAB	WORKER						LAB			1	046	046	04	1	7.0	10	1	10	0.91346153846154	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	20250919024500	https://www.thewhig.com:443/news/st-lawrence-college-students-join-staff-picket-lines/wcm/cf49d77b-ce74-4595-bc57-8103af94f3df
1263977897	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU			LAB	WORKER						LAB			0	046	046	04	1	7.0	2	1	2	0.91346153846154	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	1	United States	US	US		39.828175	-98.5795	US	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	20250919024500	https://www.thewhig.com:443/news/st-lawrence-college-students-join-staff-picket-lines/wcm/cf49d77b-ce74-4595-bc57-8103af94f3df
1263977898	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU			LAB	WORKER						LAB			0	046	046	04	1	7.0	8	1	8	0.91346153846154	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250919024500	https://www.thewhig.com:443/news/st-lawrence-college-students-join-staff-picket-lines/wcm/cf49d77b-ce74-4595-bc57-8103af94f3df
1263977899	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU			LAB	STRIKING WORKER						LAB			0	051	051	05	1	3.4	10	1	10	0.91346153846154	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	20250919024500	https://www.thewhig.com:443/news/st-lawrence-college-students-join-staff-picket-lines/wcm/cf49d77b-ce74-4595-bc57-8103af94f3df
1263977900	20250919	202509	2025	2025.7096	EDU	COLLEGE						EDU			LAB	WORKER						LAB			1	112	112	11	3	-2.0	10	1	10	1.13960113960114	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	20250919024500	https://www.thewhig.com:443/news/opseu-confronts-ontario-colleges-minister-cornwall-quinn
1263977901	20250919	202509	2025	2025.7096	EDU	UNIVERSITY						EDU			NPL	NEPAL	NPL								0	112	112	11	3	-2.0	4	1	4	-5.46218487394958	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	Kathmandu, Bagmati, Nepal	NP	NP01	22353	27.7167	85.3167	-1022136	4	Kathmandu, Bagmati, Nepal	NP	NP01	22353	27.7167	85.3167	-1022136	20250919024500	https://www.thehindu.com/society/gen-z-protests-nepal-anti-government-global-youth-anger-politics-change/article70056541.ece
1263977902	20250919	202509	2025	2025.7096	EDU	UNIVERSITY						EDU			PER	LIMA	PER								1	043	043	04	1	2.8	10	1	10	3.25581395348837	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	4	Lima, Lima, Peru	PE	PE15	91841	-12.05	-77.05	-352647	4	Lima, Lima, Peru	PE	PE15	91841	-12.05	-77.05	-352647	20250919024500	https://www.hometownstations.com/news/allen_county/new-tuition-program-could-cover-lima-to-columbus-transfer-costs-starting-in-2026/article_ff969e71-e2ed-43b5-84d7-b9c0784d209f.html
1263977903	20250919	202509	2025	2025.7096	EDU	COLLEGE						EDU			USA	UNITED STATES	USA								0	010	010	01	1	0.0	2	1	2	0.91346153846154	4	Saint Lawrence, Newfoundland, Canada	CA	CA05	12609	46.9	-55.4	-572924	4	Saint Lawrence, Newfoundland, Canada	CA	CA05	12609	46.9	-55.4	-572924	4	Saint Lawrence, Newfoundland, Canada	CA	CA05	12609	46.9	-55.4	-572924	20250919024500	https://www.thewhig.com:443/news/st-lawrence-college-students-join-staff-picket-lines/wcm/cf49d77b-ce74-4595-bc57-8103af94f3df
1263977904	20250919	202509	2025	2025.7096	EDU	COLLEGE						EDU			USA	UNITED STATES	USA								0	010	010	01	1	0.0	8	1	8	0.91346153846154	4	Saint Lawrence, Newfoundland, Canada	CA	CA05	12609	46.9	-55.4	-572924	1	United States	US	US		39.828175	-98.5795	US	4	Saint Lawrence, Newfoundland, Canada	CA	CA05	12609	46.9	-55.4	-572924	20250919024500	https://www.thewhig.com:443/news/st-lawrence-college-students-join-staff-picket-lines/wcm/cf49d77b-ce74-4595-bc57-8103af94f3df
1263977905	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU			USA	UNITED STATES	USA								0	010	010	01	1	0.0	2	1	2	0.34782608695652	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250919024500	https://vanderbilthustler.com/2025/09/18/vanderbilt-college-republicans-hold-vigil-in-honor-of-charlie-kirk/
1263977906	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU			USA	UNITED STATES	USA								1	013	013	01	1	0.4	4	1	4	0.34782608695652	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250919024500	https://vanderbilthustler.com/2025/09/18/vanderbilt-college-republicans-hold-vigil-in-honor-of-charlie-kirk/
1263977907	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU			USA	UNITED STATES	USA								1	014	014	01	1	0.0	2	1	2	0.34782608695652	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250919024500	https://vanderbilthustler.com/2025/09/18/vanderbilt-college-republicans-hold-vigil-in-honor-of-charlie-kirk/
1263977908	20250919	202509	2025	2025.7096	EDU	COLLEGE						EDU			USA	UNITED STATES	USA								1	017	017	01	1	0.0	8	1	4	0.34782608695652	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250919024500	https://vanderbilthustler.com/2025/09/18/vanderbilt-college-republicans-hold-vigil-in-honor-of-charlie-kirk/
1263977909	20250919	202509	2025	2025.7096	EDU	SCHOOL						EDU			USA	UNITED STATES	USA								0	040	040	04	1	1.0	1	1	1	-4.29252782193958	3	Hingham, Massachusetts, United States	US	USMA	MA023	42.2418	-70.8898	613354	3	Hingham, Massachusetts, United States	US	USMA	MA023	42.2418	-70.8898	613354	3	Falmouth, Massachusetts, United States	US	USMA	MA001	41.5515	-70.6148	616278	20250919024500	https://www.capenews.net/falmouth/news/from-concerned-calls-to-the-courtroom-a-timeline-of-teen-s-troubles-leading-up-alleged/article_a267d9e4-8be6-43d8-a94a-807258ecd008.html
1263977910	20250919	202509	2025	2025.7096	EDU	SCHOOL						EDU			USA	UNITED STATES	USA								0	040	040	04	1	1.0	1	1	1	-4.29252782193958	3	Hingham, Massachusetts, United States	US	USMA	MA023	42.2418	-70.8898	613354	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	3	Hingham, Massachusetts, United States	US	USMA	MA023	42.2418	-70.8898	613354	20250919024500	https://www.capenews.net/falmouth/news/from-concerned-calls-to-the-courtroom-a-timeline-of-teen-s-troubles-leading-up-alleged/article_a267d9e4-8be6-43d8-a94a-807258ecd008.html
1263977911	20250919	202509	2025	2025.7096	EDU	COLLEGE						EDU			USA	UNITED STATES	USA								1	040	040	04	1	1.0	2	1	2	-1.92307692307692	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20250919024500	https://www.kbtx.com/2025/09/18/bryan-lawyer-breaks-down-free-speech-limits-after-disciplinary-actions-tied-charlie-kirks-death/
1263977912	20250919	202509	2025	2025.7096	EDU	SCHOOL						EDU			USA	UNITED STATES	USA								1	051	051	05	1	3.4	2	1	2	0.89820359281437	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20250919024500	https://www.fox10tv.com/2025/09/18/alma-bryant-high-school-ffa-welcomes-new-calf-surprise-arrival/
1263977913	20250919	202509	2025	2025.7096	EDU	SCHOOL						EDU			USA	UNITED STATES	USA								1	112	112	11	3	-2.0	4	1	4	-5.64102564102564	3	Dodge County, Minnesota, United States	US	USMN	MN039	44.0333	-92.8669	659465	3	Dodge County, Minnesota, United States	US	USMN		44.0333	-92.8669	659465	3	Dodge County, Minnesota, United States	US	USMN		44.0333	-92.8669	659465	20250919024500	https://kstp.com/kstp-news/local-news/person-of-interest-that-prompted-multiple-minnesota-school-lockdowns-in-custody/
1263977914	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU			USA	UNITED STATES	USA								1	182	182	18	4	-9.5	2	1	2	-7.34463276836158	4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	2	California, United States	US	USCA		36.17	-119.746	CA	4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	20250919024500	https://timesofindia.indiatimes.com/city/hyderabad/t-student-shot-dead-by-us-cops-for-knife-attack-on-roommate/articleshow/123984095.cms
1263977915	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU			USA	CALIFORNIA	USA								1	182	182	18	4	-9.5	8	1	8	-7.34463276836158	4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20250919024500	https://timesofindia.indiatimes.com/city/hyderabad/t-student-shot-dead-by-us-cops-for-knife-attack-on-roommate/articleshow/123984095.cms
1263977916	20250919	202509	2025	2025.7096	EDU	UNIVERSITY						EDU			USA	UNITED STATES	USA								0	186	186	18	4	-10.0	4	1	4	0.84084084084084	3	Clay County, Iowa, United States	US	USIA	IA041	43.0833	-95.1503	465625	3	Clay County, Iowa, United States	US	USIA		43.0833	-95.1503	465625	3	Clay County, Iowa, United States	US	USIA		43.0833	-95.1503	465625	20250919024500	https://www.spencerdailyreporter.com/articles/news-spencerreporter-2/the-political-roller-coaster/
1263977917	20250919	202509	2025	2025.7096	EDU	UNIVERSITY						EDU			USA	UNITED STATES	USA								0	186	186	18	4	-10.0	6	1	6	0.84084084084084	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20250919024500	https://www.spencerdailyreporter.com/articles/news-spencerreporter-2/the-political-roller-coaster/
1263977918	20250919	202509	2025	2025.7096	EDU	UNIVERSITY						EDU			USA	UNITED STATES	USA								1	190	190	19	4	-10.0	7	1	7	-4.76190476190476	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20250919024500	https://seguintoday.com/2025/09/18/seguin-isd-responds-after-governor-singles-out-teachers-social-media-post/
1263977919	20250919	202509	2025	2025.7096	EDU	STUDENT						EDU			USA	UNITED STATES	USA								0	193	193	19	4	-10.0	2	1	2	0.34782608695652	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250919024500	https://vanderbilthustler.com/2025/09/18/vanderbilt-college-republicans-hold-vigil-in-honor-of-charlie-kirk/
1263977920	20250919	202509	2025	2025.7096	EDU	SCHOOL						EDU			USAEDU	UNITED STATES	USA					EDU			0	040	040	04	1	1.0	4	1	4	-4.29252782193958	3	Hingham, Massachusetts, United States	US	USMA	MA023	42.2418	-70.8898	613354	3	Hingham, Massachusetts, United States	US	USMA	MA023	42.2418	-70.8898	613354	3	Falmouth, Massachusetts, United States	US	USMA	MA001	41.5515	-70.6148	616278	20250919024500	https://www.capenews.net/falmouth/news/from-concerned-calls-to-the-courtroom-a-timeline-of-teen-s-troubles-leading-up-alleged/article_a267d9e4-8be6-43d8-a94a-807258ecd008.html
1263977921	20250919	202509	2025	2025.7096	EDUCOP	SCHOOL						EDU	COP		USA	UNITED STATES	USA								0	010	010	01	1	0.0	1	1	1	-4.29252782193958	3	Teaticket, Massachusetts, United States	US	USMA	MA001	41.5646	-70.5959	616474	3	Falmouth, Massachusetts, United States	US	USMA	MA001	41.5515	-70.6148	616278	3	Falmouth, Massachusetts, United States	US	USMA	MA001	41.5515	-70.6148	616278	20250919024500	https://www.capenews.net/falmouth/news/from-concerned-calls-to-the-courtroom-a-timeline-of-teen-s-troubles-leading-up-alleged/article_a267d9e4-8be6-43d8-a94a-807258ecd008.html
1263977922	20250919	202509	2025	2025.7096	EDUEDU	UNIVERSITY						EDU	EDU		AUT	AUSTRIAN	AUT								1	190	190	19	4	-10.0	10	1	10	-3.52459016393442	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	20250919024500	https://www.jewishpress.com/indepth/columns/is-it-prophecy-or-logic/2025/09/19/
1263977923	20250919	202509	2025	2025.7096	ELI	RETIRED						ELI													1	010	010	01	1	0.0	2	1	2	-7.34463276836158	4	Raichur, Karnataka, India	IN	IN19	17693	16.2	77.3667	-2108580	0								4	Raichur, Karnataka, India	IN	IN19	17693	16.2	77.3667	-2108580	20250919024500	https://timesofindia.indiatimes.com/city/hyderabad/t-student-shot-dead-by-us-cops-for-knife-attack-on-roommate/articleshow/123984095.cms
1263977924	20250919	202509	2025	2025.7096	ELI	RETIRED						ELI			IND	KARNATAKA	IND								1	010	010	01	1	0.0	1	1	1	-7.34463276836158	4	Raichur, Karnataka, India	IN	IN19	17693	16.2	77.3667	-2108580	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	4	Raichur, Karnataka, India	IN	IN19	17693	16.2	77.3667	-2108580	20250919024500	https://timesofindia.indiatimes.com/city/hyderabad/t-student-shot-dead-by-us-cops-for-knife-attack-on-roommate/articleshow/123984095.cms
1263977925	20250919	202509	2025	2025.7096	ELI	RETIRED						ELI			IND	KARNATAKA	IND								1	010	010	01	1	0.0	1	1	1	-7.34463276836158	4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	20250919024500	https://timesofindia.indiatimes.com/city/hyderabad/t-student-shot-dead-by-us-cops-for-knife-attack-on-roommate/articleshow/123984095.cms
1263977926	20250919	202509	2025	2025.7096	ELI	RETIRED						ELI			IND	KARNATAKA	IND								1	010	010	01	1	0.0	1	1	1	-7.34463276836158	4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	2	California, United States	US	USCA		36.17	-119.746	CA	4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	20250919024500	https://timesofindia.indiatimes.com/city/hyderabad/t-student-shot-dead-by-us-cops-for-knife-attack-on-roommate/articleshow/123984095.cms
1263977927	20250919	202509	2025	2025.7096	ELI	ACTOR						ELI			USA	UNITED STATES	USA								0	020	020	02	1	3.0	4	1	4	-5.25547445255475	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250919024500	https://www.sbs.com.au/news/article/trumps-new-warning-to-us-broadcasters-amid-mounting-criticism-over-kimmel-suspension/ifnvfceto
1263977928	20250919	202509	2025	2025.7096	ESP	BARCELONA	ESP								FRA	PARIS	FRA								1	036	036	03	1	4.0	1	1	1	2.24719101123596	4	Barcelona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25806	41.3833	2.18333	-372490	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20250919024500	https://www.fanatik.com.tr/en/barcelona-defeats-newcastle-united-with-rashfords-brace-2594854
