1267709673	20151012	201510	2015	2015.7726	VNM	VIETNAM	VNM								LAO	LAOS	LAO								1	051	051	05	1	3.4	2	1	2	11.4864864864865	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20251009171500	https://en.vietnamplus.vn/vietnam-laos-strengthen-cooperation-across-multiple-fields-post330146.vnp
1267710078	20251009	202510	2025	2025.7644	COPCOP	DEPUTY						COP	COP		IRL	IRELAND	IRL								0	051	051	05	1	3.4	4	1	4	6.16197183098592	4	Tubbercurry, Sligo, Ireland	EI	EI25	18304	54.05	-8.73333	-1505956	4	Tubbercurry, Sligo, Ireland	EI	EI25	18304	54.05	-8.73333	-1505956	4	Tubbercurry, Sligo, Ireland	EI	EI25	18304	54.05	-8.73333	-1505956	20251009171500	https://www.independent.ie/regionals/sligo/news/sligo-family-resource-centre-celebrates-30-years-but-new-building-needed-to-continue-its-great-work/a1609127132.html
1267710079	20251009	202510	2025	2025.7644	COPGOV	DEPUTY						COP	GOV		PTY	POLITICIAN									1	043	043	04	1	2.8	5	1	5	4.64852607709751	0								0								0								20251009171500	https://caledoncitizen.com/community-living-dufferin-holds-inaugural-fundraiser-featuring-campfire-poets/
1267710080	20251009	202510	2025	2025.7644	CRM	BUCCANEER						CRM													1	042	042	04	1	1.9	10	1	10	1.28755364806867	2	New York, United States	US	USNY		42.1497	-74.9384	NY	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251009171500	https://www.hellomagazine.com/film/860721/period-drama-the-buccaneers-leaves-viewers-divided-with-season-3-update/
1267710081	20251009	202510	2025	2025.7644	CRM	CRIMINAL						CRM													1	173	173	17	4	-5.0	6	1	6	-7.30897009966781	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	0								3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20251009171500	https://ktbb.com/post/?p=1448030
1267710082	20251009	202510	2025	2025.7644	CRM	CRIMINAL						CRM													1	173	173	17	4	-5.0	2	1	2	-7.30897009966781	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	20251009171500	https://ktbb.com/post/?p=1448030
1267710083	20251009	202510	2025	2025.7644	CRM	CRIMINAL						CRM													1	173	173	17	4	-5.0	2	1	2	-7.30897009966781	2	Texas, United States	US	USTX		31.106	-97.6475	TX	0								3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20251009171500	https://ktbb.com/post/?p=1448030
1267710084	20251009	202510	2025	2025.7644	CRM	CRIMINAL						CRM			COP	PRISON						COP			1	173	173	17	4	-5.0	10	1	5	-10.2473498233215	4	Tirana, Tirane, Albania	AL	AL50	4124	41.3275	19.8189	-108649	4	Tirana, Tirane, Albania	AL	AL50	4124	41.3275	19.8189	-108649	4	Tirana, Tirane, Albania	AL	AL50	4124	41.3275	19.8189	-108649	20251009171500	https://www.gazetaexpress.com/en/was-extradited-from-Dubai-the-moment-Clevio-arrived-in-Tirana-in-handcuffs/
1267710085	20251009	202510	2025	2025.7644	CUB	CUBA	CUB																		1	050	050	05	1	3.5	10	1	10	4.84581497797357	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	0								4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	20251009171500	https://en.vietnamplus.vn/vietnamese-cuban-lawyers-foster-cooperation-post296341.vnp
1267710086	20251009	202510	2025	2025.7644	CUB	CUBA	CUB																		1	057	057	05	1	8.0	10	1	10	4.84581497797357	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	0								4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	20251009171500	https://en.vietnamplus.vn/vietnamese-cuban-lawyers-foster-cooperation-post296341.vnp
1267710087	20251009	202510	2025	2025.7644	CUB	CUBA	CUB								BUS	COMPANIES						BUS			0	036	036	03	1	4.0	10	1	10	4.84581497797357	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	20251009171500	https://en.vietnamplus.vn/vietnamese-cuban-lawyers-foster-cooperation-post296341.vnp
1267710088	20251009	202510	2025	2025.7644	CVL	CIVIL SOCIETY						CVL													0	010	010	01	1	0.0	12	2	12	-1.0872331373479	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	0								4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20251009171500	https://dominicanrepublicpost.com/starmer-meets-modi-what-the-uk-can-learn-from-indias-digital-ids/
1267710089	20251009	202510	2025	2025.7644	CVL	CIVIL SOCIETY						CVL													0	010	010	01	1	0.0	4	2	4	-1.0872331373479	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20251009171500	https://dominicanrepublicpost.com/starmer-meets-modi-what-the-uk-can-learn-from-indias-digital-ids/
1267710090	20251009	202510	2025	2025.7644	CVL	COMMUNITY						CVL													0	010	010	01	1	0.0	10	1	10	-2.42261103633917	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	0								4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20251009171500	https://www.dailymail.co.uk/news/article-15177235/harry-potter-jk-rowling-transgender-vancouver.html
1267710091	20251009	202510	2025	2025.7644	CVL	VILLAGE						CVL													1	010	010	01	1	0.0	1	1	1	-1.43198090692124	3	Aventura, Florida, United States	US	USFL	FL086	25.9565	-80.1392	1777315	0								3	Aventura, Florida, United States	US	USFL	FL086	25.9565	-80.1392	1777315	20251009171500	https://therealdeal.com/miami/2025/10/09/in-palm-beach-money-dulls-pain-of-statewide-condo-crisis/
1267710092	20251009	202510	2025	2025.7644	CVL	RESIDENTS						CVL													0	010	010	01	1	0.0	2	1	2	-3.31491712707182	3	Dougherty County, Georgia, United States	US	USGA	GA095	31.5335	-84.1999	351259	0								3	Dougherty County, Georgia, United States	US	USGA		31.5335	-84.1999	351259	20251009171500	https://www.walb.com/2025/10/09/operation-watchful-eye-x-georgia-sheriffs-crack-down-sex-offender-violations/
1267710093	20251009	202510	2025	2025.7644	CVL	VOTER						CVL													0	010	010	01	1	0.0	3	1	3	-0.10111223458039	2	California, United States	US	USCA		36.17	-119.746	CA	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	20251009171500	https://www.sfexaminer.com/news/politics/democrats-california-prop-50-push-doesnt-end-in-november/article_24e4076e-8199-4d8d-8294-5478917c3dad.html
1267710094	20251009	202510	2025	2025.7644	CVL	VOTER						CVL													0	010	010	01	1	0.0	1	1	1	-0.10111223458039	2	Texas, United States	US	USTX		31.106	-97.6475	TX	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	20251009171500	https://www.sfexaminer.com/news/politics/democrats-california-prop-50-push-doesnt-end-in-november/article_24e4076e-8199-4d8d-8294-5478917c3dad.html
1267710095	20251009	202510	2025	2025.7644	CVL	CIVILIAN						CVL													1	013	013	01	1	0.4	10	1	10	-3.22939866369711	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251009171500	https://huntnewsnu.com/88776/city/metro/pro-palestine-protest-takes-over-boston-common-on-war-anniversary-several-people-arrested-injured/
1267710096	20251009	202510	2025	2025.7644	CVL	SCIENTIST						CVL													0	020	020	02	1	3.0	10	1	10	0.62135922330097	4	Ronneburg, Thün, Germany	GM	GM15	16563	50.8667	12.1833	-1851726	0								4	Ronneburg, Thün, Germany	GM	GM15	16563	50.8667	12.1833	-1851726	20251009171500	https://www.planetary.org/articles/our-best-proof-of-life-on-mars-yet-a-deep-dive-into-cheyava-falls
1267710097	20251009	202510	2025	2025.7644	CVL	RESIDENTS						CVL													0	0214	021	02	1	3.4	2	1	2	-3.31491712707182	3	Dougherty County, Georgia, United States	US	USGA	GA095	31.5335	-84.1999	351259	0								3	Dougherty County, Georgia, United States	US	USGA		31.5335	-84.1999	351259	20251009171500	https://www.walb.com/2025/10/09/operation-watchful-eye-x-georgia-sheriffs-crack-down-sex-offender-violations/
1267710098	20251009	202510	2025	2025.7644	CVL	RESIDENTS						CVL													0	0332	033	03	1	5.2	10	1	10	0.96930533117932	0								0								0								20251009171500	https://www.manchestereveningnews.co.uk/news/tv/coronation-street-fans-work-out-32646756
1267710099	20251009	202510	2025	2025.7644	CVL	RESIDENTS						CVL													0	0334	033	03	1	6.0	4	2	4	-5.85973264969786	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	0								4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20251009171500	https://www.capitalfm.co.ke/news/2025/10/runda-residents-demonstrate-over-illegal-attempt-to-grab-public-land/
1267710100	20251009	202510	2025	2025.7644	CVL	RESIDENTS						CVL													0	0334	033	03	1	6.0	6	2	6	-5.85973264969786	1	Benin	BN	BN		9.5	2.25	BN	0								1	Benin	BN	BN		9.5	2.25	BN	20251009171500	https://www.capitalfm.co.ke/news/2025/10/runda-residents-demonstrate-over-illegal-attempt-to-grab-public-land/
1267710101	20251009	202510	2025	2025.7644	CVL	LANDOWNER						CVL													1	036	036	03	1	4.0	10	1	10	-0.27675276752768	2	Montana, United States	US	USMT		46.9048	-110.326	MT	0								2	Montana, United States	US	USMT		46.9048	-110.326	MT	20251009171500	https://billingsgazette.com/outdoors/article_a0062cfb-198d-4f09-93b1-aa726498a8b4.html
1267710102	20251009	202510	2025	2025.7644	CVL	RESIDENTS						CVL													1	042	042	04	1	1.9	10	1	10	-0.22701475595914	4	Caledon, Ontario, Canada	CA	CA08	12688	43.8667	-80	-561984	0								4	Caledon, Ontario, Canada	CA	CA08	12688	43.8667	-80	-561984	20251009171500	https://caledoncitizen.com/free-speech-comes-at-a-price/
1267710103	20251009	202510	2025	2025.7644	CVL	COMMUNITY						CVL													0	042	042	04	1	1.9	6	1	6	1.66204986149584	4	Grise Fiord, Nunavut, Canada	CA	CA14	12638	76.4167	-82.95	-565672	0								1	Italy	IT	IT		42.833333	12.833333	IT	20251009171500	https://www.shetlandtimes.co.uk/news/her-legacy-is-astonishing-journalist-filmmaker-writer-416394/
1267710104	20251009	202510	2025	2025.7644	CVL	COMMUNITY						CVL													0	042	042	04	1	1.9	5	1	5	1.64447924823806	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	0								4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20251009171500	https://caledoncitizen.com/encouraging-and-fostering-truth-reconciliation/
1267710105	20251009	202510	2025	2025.7644	CVL	CIVILIAN						CVL													0	051	051	05	1	3.4	1	1	1	2.84974093264249	1	Gaza Strip	GZ	GZ		31.425074	34.373398	GZ	0								4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20251009171500	https://www.brandonsun.com/national/2025/10/09/those-in-canada-with-loved-ones-in-middle-east-hopeful-about-hamas-israel-peace-plan
1267710106	20251009	202510	2025	2025.7644	CVL	COMMUNITY						CVL													1	051	051	05	1	3.4	2	1	2	-2.31404958677685	1	Ukraine	UP	UP		49	32	UP	0								1	Ukraine	UP	UP		49	32	UP	20251009171500	https://www.miragenews.com/debate-weighs-if-americas-global-dominance-1548909/
1267710107	20251009	202510	2025	2025.7644	CVL	CIVILIAN						CVL													1	057	057	05	1	8.0	10	1	10	-1.6260162601626	1	Italy	IT	IT		42.833333	12.833333	IT	0								1	Italy	IT	IT		42.833333	12.833333	IT	20251009171500	https://www.stripes.com/branches/navy/2025-10-09/shutdown-navy-landlords-rent-civilian-workers-19369145.html
1267710108	20251009	202510	2025	2025.7644	CVL	SETTLEMENT						CVL													0	071	071	07	2	7.4	3	1	3	-11.1111111111112	3	Los Angeles, California, United States	US	USCA	CA037	34.0522	-118.244	1662328	0								3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	20251009171500	http://www.parentherald.com/articles/236587/20251008/son-law-disgraced-attorney-tom-girardi-sentenced-4-months-jail-over-legal-fraud-scandal.htm
1267710109	20251009	202510	2025	2025.7644	CVL	VOTER						CVL													1	110	110	11	3	-2.0	10	1	10	-0.10111223458039	3	San Francisco, California, United States	US	USCA	CA075	37.7749	-122.419	277593	0								3	San Francisco, California, United States	US	USCA		37.7749	-122.419	277593	20251009171500	https://www.sfexaminer.com/news/politics/democrats-california-prop-50-push-doesnt-end-in-november/article_24e4076e-8199-4d8d-8294-5478917c3dad.html
1267710110	20251009	202510	2025	2025.7644	CVL	VOTER						CVL													1	110	110	11	3	-2.0	5	1	5	2.00445434298441	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20251009171500	https://www.wgal.com/article/franklin-marshall-poll-president-donald-trump-gov-josh-shapiro-approval/68968394
1267710111	20251009	202510	2025	2025.7644	CVL	RESIDENTS						CVL													1	112	112	11	3	-2.0	20	2	20	-5.85973264969786	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	0								4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20251009171500	https://www.capitalfm.co.ke/news/2025/10/runda-residents-demonstrate-over-illegal-attempt-to-grab-public-land/
1267710112	20251009	202510	2025	2025.7644	CVL	RESIDENTS						CVL													1	112	112	11	3	-2.0	12	2	12	-5.85973264969786	1	Benin	BN	BN		9.5	2.25	BN	0								1	Benin	BN	BN		9.5	2.25	BN	20251009171500	https://www.capitalfm.co.ke/news/2025/10/runda-residents-demonstrate-over-illegal-attempt-to-grab-public-land/
1267710113	20251009	202510	2025	2025.7644	CVL	CITIZEN						CVL													0	112	112	11	3	-2.0	8	1	8	-3.59281437125748	1	Kosovo	KV	KV		42.583333	21	KV	0								1	Kosovo	KV	KV		42.583333	21	KV	20251009171500	https://www.gazetaexpress.com/en/osmani-serbia-po-tenton-te-bleje-vota-ne-kosove-trimerohet-sepse-nuk-ndeshkohet/
1267710114	20251009	202510	2025	2025.7644	CVL	CITIZEN						CVL													0	112	112	11	3	-2.0	4	1	4	-3.59281437125748	1	Serbia	RI	RI		44	21	RI	0								1	Kosovo	KV	KV		42.583333	21	KV	20251009171500	https://www.gazetaexpress.com/en/osmani-serbia-po-tenton-te-bleje-vota-ne-kosove-trimerohet-sepse-nuk-ndeshkohet/
1267710115	20251009	202510	2025	2025.7644	CVL	RESIDENTS						CVL													1	120	120	12	3	-4.0	10	2	10	-5.85973264969786	4	Karura, Nairobi Area, Kenya	KE	KE05	18585	-1.22609	36.7816	-2249138	0								4	Karura, Nairobi Area, Kenya	KE	KE05	18585	-1.22609	36.7816	-2249138	20251009171500	https://www.capitalfm.co.ke/news/2025/10/runda-residents-demonstrate-over-illegal-attempt-to-grab-public-land/
1267710116	20251009	202510	2025	2025.7644	CVL	HUNTER						CVL													1	120	120	12	3	-4.0	5	1	5	-1.63800163800164	3	Voyageurs National Park, Minnesota, United States	US	USMN	MN137	48.5002	-92.8335	660491	0								3	Voyageurs National Park, Minnesota, United States	US	USMN		48.5002	-92.8335	660491	20251009171500	http://www.timberjay.com/stories/deer-winter-and-wolves,23576
1267710117	20251009	202510	2025	2025.7644	CVL	HUNTER						CVL													1	120	120	12	3	-4.0	1	1	1	-1.63800163800164	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	0								2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20251009171500	http://www.timberjay.com/stories/deer-winter-and-wolves,23576
1267710118	20251009	202510	2025	2025.7644	CVL	LANDOWNER						CVL													1	190	190	19	4	-10.0	10	1	10	-2.77777777777777	3	Medina County, Ohio, United States	US	USOH	OH103	41.1001	-81.8832	1074064	0								3	Medina County, Ohio, United States	US	USOH		41.1001	-81.8832	1074064	20251009171500	https://www.farmanddairy.com/columns/bounties-are-too-simple-a-solution-for-a-complex-problem/890957.html
1267710119	20251009	202510	2025	2025.7644	CVL	VILLAGE						CVL			BUS	BUSINESS						BUS			1	010	010	01	1	0.0	2	1	2	-1.43198090692124	3	Palm Beach, Florida, United States	US	USFL	FL099	26.7056	-80.0364	288390	3	Palm Beach, Florida, United States	US	USFL		26.7056	-80.0364	288390	3	Palm Beach, Florida, United States	US	USFL		26.7056	-80.0364	288390	20251009171500	https://therealdeal.com/miami/2025/10/09/in-palm-beach-money-dulls-pain-of-statewide-condo-crisis/
1267710120	20251009	202510	2025	2025.7644	CVL	VILLAGE						CVL			BUS	BUSINESS						BUS			1	013	013	01	1	0.4	6	1	6	-1.43198090692124	3	Palm Beach, Florida, United States	US	USFL	FL099	26.7056	-80.0364	288390	3	Palm Beach, Florida, United States	US	USFL		26.7056	-80.0364	288390	3	Palm Beach, Florida, United States	US	USFL		26.7056	-80.0364	288390	20251009171500	https://therealdeal.com/miami/2025/10/09/in-palm-beach-money-dulls-pain-of-statewide-condo-crisis/
1267710121	20251009	202510	2025	2025.7644	CVL	COMMUNITY						CVL			CAN	VANCOUVER	CAN								1	030	030	03	1	4.0	10	1	10	-2.42261103633917	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20251009171500	https://www.dailymail.co.uk/news/article-15177235/harry-potter-jk-rowling-transgender-vancouver.html
1267710122	20251009	202510	2025	2025.7644	CVL	COMMUNITY						CVL			CAN	VANCOUVER	CAN								1	043	043	04	1	2.8	10	1	10	-2.42261103633917	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20251009171500	https://www.dailymail.co.uk/news/article-15177235/harry-potter-jk-rowling-transgender-vancouver.html
1267710123	20251009	202510	2025	2025.7644	CVL	SCIENTIST						CVL			CHL	CHILE	CHL								1	020	020	02	1	3.0	2	1	2	2.09790209790209	4	Milky Way, Magallanes y Antáica Chilena, Chile	CI	CI10	12960	-54.4	-72.6167	-904301	4	Milky Way, Magallanes y Antáica Chilena, Chile	CI	CI10	12960	-54.4	-72.6167	-904301	4	Milky Way, Magallanes y Antáica Chilena, Chile	CI	CI10	12960	-54.4	-72.6167	-904301	20251009171500	https://www.zmescience.com/space/astronomers-just-found-the-most-pristine-star-ever-and-thats-a-huge-deal/
1267710124	20251009	202510	2025	2025.7644	CVL	NEIGHBORHOOD						CVL			COP	POLICE						COP			0	020	020	02	1	3.0	6	1	6	-3.21100917431193	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	20251009171500	https://ktbb.com/post/?p=1448065
1267710125	20251009	202510	2025	2025.7644	CVL	COMMUNITY						CVL			COP	DEPUTY						COP			0	100	100	10	3	-5.0	2	1	2	-0.52465897166842	1		RB	RB				RB	1	Kosovo	KV	KV		42.583333	21	KV	1	Kosovo	KV	KV		42.583333	21	KV	20251009171500	https://www.gazetaexpress.com/en/The-parties-are-silent-about-the-verdict--the-idea-of-%E2%80%8B%E2%80%8Ba-provisional-government-and-early-elections-is-circulating-in-the-market./
1267710126	20251009	202510	2025	2025.7644	CVL	COMMUNITY						CVL			COP	DEPUTY						COP			0	100	100	10	3	-5.0	8	1	8	-0.52465897166842	1		RB	RB				RB	1		RB	RB				RB	1		RB	RB				RB	20251009171500	https://www.gazetaexpress.com/en/The-parties-are-silent-about-the-verdict--the-idea-of-%E2%80%8B%E2%80%8Ba-provisional-government-and-early-elections-is-circulating-in-the-market./
1267710127	20251009	202510	2025	2025.7644	CVL	RESIDENTS						CVL			COP	POLICE						COP			0	140	140	14	3	-6.5	5	1	5	-0.22701475595914	4	Caledon, Ontario, Canada	CA	CA08	12688	43.8667	-80	-561984	4	Caledon, Ontario, Canada	CA	CA08	12688	43.8667	-80	-561984	4	Caledon, Ontario, Canada	CA	CA08	12688	43.8667	-80	-561984	20251009171500	https://caledoncitizen.com/free-speech-comes-at-a-price/
1267710128	20251009	202510	2025	2025.7644	CVL	COMMUNITY						CVL			EDU	STUDENT						EDU			1	013	013	01	1	0.4	1	1	1	-2.31404958677685	1	Ukraine	UP	UP		49	32	UP	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251009171500	https://www.miragenews.com/debate-weighs-if-americas-global-dominance-1548909/
1267710129	20251009	202510	2025	2025.7644	CVL	COMMUNITY						CVL			EDU	STUDENT						EDU			1	013	013	01	1	0.4	1	1	1	-2.31404958677685	1	Ukraine	UP	UP		49	32	UP	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	1	Ukraine	UP	UP		49	32	UP	20251009171500	https://www.miragenews.com/debate-weighs-if-americas-global-dominance-1548909/
1267710130	20251009	202510	2025	2025.7644	CVL	COMMUNITY						CVL			EDU	STUDENT						EDU			1	013	013	01	1	0.4	6	1	6	-2.31404958677685	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20251009171500	https://www.miragenews.com/debate-weighs-if-americas-global-dominance-1548909/
1267710131	20251009	202510	2025	2025.7644	CVL	COMMUNITY						CVL			EDU	INTELLECTUAL						EDU			0	051	051	05	1	3.4	6	1	6	6.16197183098592	4	Tubbercurry, Sligo, Ireland	EI	EI25	18304	54.05	-8.73333	-1505956	4	Tubbercurry, Sligo, Ireland	EI	EI25	18304	54.05	-8.73333	-1505956	4	Tubbercurry, Sligo, Ireland	EI	EI25	18304	54.05	-8.73333	-1505956	20251009171500	https://www.independent.ie/regionals/sligo/news/sligo-family-resource-centre-celebrates-30-years-but-new-building-needed-to-continue-its-great-work/a1609127132.html
1267710132	20251009	202510	2025	2025.7644	CVL	COMMUNITY						CVL			EDU	INTELLECTUAL						EDU			0	051	051	05	1	3.4	4	1	4	6.16197183098592	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20251009171500	https://www.independent.ie/regionals/sligo/news/sligo-family-resource-centre-celebrates-30-years-but-new-building-needed-to-continue-its-great-work/a1609127132.html
1267710133	20251009	202510	2025	2025.7644	CVL	MIGRANT						CVL			GOV	ADMINISTRATION						GOV			0	111	111	11	3	-2.0	6	1	6	-5.88662790697674	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20251009171500	https://www.texasobserver.org/dallas-vigil-ice-shooting-victims-trump-deportations/
1267710134	20251009	202510	2025	2025.7644	CVL	TRAVELLER						CVL			IRL	DUBLIN	IRL								0	042	042	04	1	1.9	10	1	10	5.36912751677852	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20251009171500	https://www.irishcentral.com/business/guaranteed-irish-daa
1267710135	20251009	202510	2025	2025.7644	CVL	COMMUNITY						CVL			ITA	ITALY	ITA								0	043	043	04	1	2.8	4	1	4	1.66204986149584	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	20251009171500	https://www.shetlandtimes.co.uk/news/her-legacy-is-astonishing-journalist-filmmaker-writer-416394/
1267710136	20251009	202510	2025	2025.7644	CVL	RESIDENTS						CVL			KEN	KENYA	KEN								0	112	112	11	3	-2.0	4	2	4	-5.85973264969786	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20251009171500	https://www.capitalfm.co.ke/news/2025/10/runda-residents-demonstrate-over-illegal-attempt-to-grab-public-land/
1267710137	20251009	202510	2025	2025.7644	CVL	VOTER						CVL			LEG	CONGRESSWOMAN						LEG			1	020	020	02	1	3.0	4	2	4	-1.63934426229508	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20251009171500	https://abc6onyourside.com/news/nation-world/texas-rep-jasmine-crockett-says-kamala-harris-team-was-skeptical-of-her-rural-campaign-offer-kat-vargas-podcast-comments
1267710138	20251009	202510	2025	2025.7644	CVL	VOTER						CVL			LEG	CONGRESSWOMAN						LEG			1	100	100	10	3	-5.0	2	2	2	-1.63934426229508	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20251009171500	https://abc6onyourside.com/news/nation-world/texas-rep-jasmine-crockett-says-kamala-harris-team-was-skeptical-of-her-rural-campaign-offer-kat-vargas-podcast-comments
1267710139	20251009	202510	2025	2025.7644	CVL	VOTER						CVL			LTU	LITHUANIA	LTU								1	051	051	05	1	3.4	4	1	4	4.02298850574713	4	Nemunas, Lithuania (general), Lithuania	LH	LH00	19135	55.3019	21.3817	-2617099	4	Nemunas, Lithuania (general), Lithuania	LH	LH00	19135	55.3019	21.3817	-2617099	4	Nemunas, Lithuania (general), Lithuania	LH	LH00	19135	55.3019	21.3817	-2617099	20251009171500	https://www.delfi.lt/en/en/politics/nemunas-dawn-sees-significant-gains-in-latest-poll-120159309
1267710140	20251009	202510	2025	2025.7644	CVL	CIVIL SOCIETY						CVL			MED	MEDIA						MED			0	090	090	09	2	-2.0	10	1	10	-8.33333333333332	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	20251009171500	https://leadership.ng/efcc-arrests-17000-suspected-fraudsters-in-22-years/
1267710141	20251009	202510	2025	2025.7644	CVL	IMMIGRANT						CVL			UAF	GUNMAN						UAF			1	182	182	18	4	-9.5	3	1	3	-5.88662790697674	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20251009171500	https://www.texasobserver.org/dallas-vigil-ice-shooting-victims-trump-deportations/
